ID,Name,Department,Math,Physics,English
77,Heba Anwar,Arts,67,60,100
78,Mohamed Fouad,Science,80,64,62
79,Ibrahim Samir,Commerce,100,64,64
80,Sara Ramzy,Arts,75,71,67
81,Youssef Sabry,Commerce,72,91,82
82,Waleed Ramzy,Commerce,51,57,66
83,Dina Gaber,Commerce,52,56,88
84,Ziad Samir,Commerce,77,88,82
85,Habiba Fouad,Arts,66,52,95
86,Ziad Hassan,Arts,73,77,54
87,Mahmoud Shawky,Commerce,92,57,96
88,Khaled Kamal,Commerce,92,76,70
89,Waleed Hamdy,Commerce,85,58,62
90,Heba Ramzy,Engineering,93,97,61
91,Amir Gaber,Commerce,75,85,50
92,Khaled Reda,Arts,77,100,87
93,Basma Ezzat,Commerce,79,78,78
94,Yara Kamal,Engineering,100,100,97
95,Amr Ramzy,Science,68,82,92
96,Amir Nabil,Science,98,65,93
97,Khaled Salah,Arts,59,51,52
98,Mostafa Yousry,Science,79,76,90
99,Menna Tarek,Engineering,81,75,65
100,Mona Ezzat,Science,98,99,56
101,Ziad Salah,Arts,94,83,79
102,Laila Farouk,Arts,57,79,58
103,Ibrahim Ramzy,Commerce,98,78,89
104,Reem Hisham,Engineering,60,97,80
105,Rawan Fathy,Arts,90,67,99
106,Fady Yousry,Arts,67,78,54
107,Salma Salah,Commerce,71,70,84
108,Nour Ali,Arts,64,74,94
109,Mona Hamdy,Arts,54,76,76
110,Mahmoud Farouk,Engineering,76,53,63
111,Heba Fouad,Science,98,86,74
112,Marwa Hassan,Commerce,69,98,74
113,Heba Farouk,Arts,81,64,67
114,Ziad Yousry,Science,74,71,92
115,Waleed Naguib,Arts,79,58,89
116,Alia Hassan,Engineering,87,86,92
117,Sara Khaled,Engineering,58,79,61
118,Laila Fathy,Engineering,70,63,79
119,Aya Nabil,Engineering,67,98,76
120,Rana Fahmy,Science,80,51,97
121,Alia Mostafa,Commerce,64,91,54
122,Omar Sabry,Science,65,62,51
123,Amir Ali,Arts,58,80,92
124,Habiba Gaber,Arts,79,94,66
125,Sherif Adel,Science,99,60,69
126,Mohamed Gaber,Science,69,86,93
127,Nada Fouad,Arts,54,87,94
128,Mostafa Ibrahim,Commerce,93,88,57
129,Menna Anwar,Science,72,84,77
130,Sherif Khaled,Commerce,50,76,81
131,Mohamed Hisham,Commerce,90,79,95
132,Mona Hisham,Arts,96,83,91
133,Hazem Shawky,Engineering,79,77,96
134,Ahmed Fathy,Commerce,65,55,67
135,Rawan Salah,Engineering,86,89,92
136,Nada Nabil,Science,81,70,61
137,Adham Tarek,Commerce,66,71,67
138,Basma Hamdy,Commerce,85,50,83
139,Tarek Khaled,Arts,96,76,81
140,Hassan Sabry,Arts,94,80,91
141,Adham Adly,Science,55,68,64
142,Waleed Hamdy,Arts,69,92,87
143,Sherif Yousry,Commerce,77,97,85
144,Mahmoud Samir,Engineering,67,69,66
145,Hossam Ibrahim,Arts,70,57,97
146,Alia Sabry,Arts,62,63,97
147,Marwa Fathy,Commerce,56,62,68
148,Hossam Samir,Arts,69,50,95
149,Alia Ali,Commerce,52,53,85
150,Salma Hamdy,Arts,90,98,81
151,Mohamed Zaki,Science,86,68,80
152,Marwa Adly,Commerce,61,53,66
153,Marwa Ibrahim,Science,75,81,54
154,Menna Ezzat,Science,59,59,86
155,Khaled Khaled,Arts,57,85,98
156,Heba Shawky,Arts,99,83,74
157,Rawan Rashad,Engineering,69,87,77
158,Khaled Gaber,Science,89,97,56
159,Yara Ezzat,Arts,66,92,55
160,Amr Salah,Arts,85,54,60
161,Ahmed Hisham,Engineering,94,88,80
162,Salma Mostafa,Arts,68,95,68
163,Ibrahim Khaled,Arts,66,100,100
164,Ahmed Ramzy,Arts,77,57,84
165,Hossam Ezzat,Arts,67,59,54
166,Laila Adel,Commerce,88,97,86
167,Salma Adly,Science,79,94,69
168,Waleed Fathy,Engineering,78,55,88
169,Omar Hosny,Engineering,97,70,88
170,Rana Hassan,Science,64,93,86
171,Ahmed Hassan,Commerce,86,52,98
172,Dina Yousry,Engineering,67,61,87
173,Ziad Ezzat,Engineering,55,80,72
174,Heba Nabil,Commerce,92,56,60
175,Mahmoud Hisham,Engineering,68,92,75
176,Hassan Mostafa,Engineering,55,70,66
177,Aya Ibrahim,Engineering,82,50,92
178,Alia Adly,Engineering,53,62,83
179,Sherif Shawky,Engineering,90,78,98
180,Laila Tarek,Commerce,85,58,68
181,Rawan Hosny,Engineering,57,51,90
182,Basma Anwar,Arts,95,60,69
183,Hassan Hassan,Engineering,55,64,57
184,Ibrahim Ibrahim,Arts,81,95,68
185,Reem Hamdy,Commerce,76,80,80
186,Mostafa Adly,Arts,74,62,88
187,Reem Naguib,Arts,54,67,99
188,Heba Nabil,Commerce,50,68,96
189,Khaled Fahmy,Engineering,59,78,84
190,Marwa Samir,Commerce,85,98,84
191,Nada Adly,Commerce,62,94,65
192,Menna Fouad,Arts,99,76,52
193,Aya Naguib,Engineering,95,74,74
194,Mona Yousry,Science,58,82,87
195,Mahmoud Zaki,Science,78,56,83
196,Ibrahim Hassan,Arts,76,91,59
197,Youssef Yousry,Commerce,71,89,94
198,Waleed Ezzat,Science,71,93,84
199,Nada Nabil,Engineering,84,52,89
200,Youssef Salah,Commerce,64,97,55
